1,1
2,4
3,7
4,25
5,9
6,13
7,16
8,19
9,21
10,27
11,29
12,32
13,37
14,41
15,43
16,46
17,50
18,52
19,54
20,58
21,60
22,63
23,66
24,69
25,74
26,77
27,79
28,81
29,83
30,86
31,90
32,92
33,95
34,98
35,100
36,104
37,108
38,111
39,116
40,118
41,120
42,123
43,125
44,129
45,131
46,133
47,138
48,140
49,147
50,149
51,151
52,154
53,157
54,160
55,164
56,166
57,169
58,171
59,172
60,176
61,178
62,181
63,183
64,185
65,189
66,192
67,195
68,197
69,199
70,201
71,203
72,205
73,208
74,212
75,214
76,217
77,219
78,222
79,224
80,226
81,229
82,232
83,235
84,238
85,241
86,243
87,245
88,248
89,250
90,254
91,257
92,260
93,264
94,267
95,269
96,272
97,275
98,277
99,279
100,282
101,285
102,286
103,289
104,291
105,295
106,297
107,299
108,302
109,303
110,306
111,308
112,310
113,312
114,313
115,315
116,317
117,319
118,321
119,323
120,326
121,330
122,332
123,334
124,336
125,338
126,340
127,342
128,344
129,346
130,349
131,350
132,354
133,356
134,359
135,362
136,365
137,367
138,369
139,373
140,376
141,378
142,380
143,381
144,383
145,386
146,389
147,392
148,395
149,398
150,400
151,403
152,405
153,407
154,409
155,411
156,413
157,414
158,416
159,418
160,423
161,425
162,428
163,430
164,432
165,435
166,437
167,445
168,448
169,450
170,452
171,454
172,457
173,460
174,462
175,464
176,466
177,468
178,470
179,472
180,475
181,477
182,479
183,481
184,483
185,485
186,487
187,489
188,491
189,493
190,494
191,497
192,499
193,501
194,503
195,505
196,507
197,508
198,510
199,512
200,514
