1,Los Angeles,New York,1/2/2022 10:00,1/2/2022 14:00,2
2,Chicago,Miami,1/3/2022 8:30,1/3/2022 12:30,3
3,Miami,Chicago,1/4/2022 10:30,1/4/2022 14:30,4
4,San Francisco,Seattle,1/5/2022 8:45,1/5/2022 12:45,5
5,Seattle,San Francisco,1/6/2022 10:45,1/6/2022 14:45,6
6,Denver,Houston,1/7/2022 9:15,1/7/2022 13:15,7
7,Houston,Denver,1/8/2022 11:15,1/8/2022 15:15,8
8,Atlanta,Orlando,1/9/2022 9:30,1/9/2022 13:30,9
9,Orlando,Atlanta,1/10/2022 11:30,1/10/2022 15:30,10
10,Philadelphia,Phoenix,4/21/2022 9:00,4/21/2022 13:00,11
11,Phoenix,Philadelphia,4/22/2022 11:00,4/22/2022 15:00,12
12,Las Vegas,Boston,4/23/2022 9:15,4/23/2022 13:15,13
13,Boston,Las Vegas,4/24/2022 11:15,4/24/2022 15:15,14
14,"Washington, D.C.",Seattle,4/25/2022 9:30,4/25/2022 13:30,15
15,Seattle,"Washington, D.C.",4/26/2022 11:30,4/26/2022 15:30,16
16,Miami,Dallas,4/27/2022 9:45,4/27/2022 13:45,17
17,Dallas,Miami,4/28/2022 11:45,4/28/2022 15:45,18
18,New York,Houston,4/29/2022 10:00,4/29/2022 14:00,19
19,Houston,New York,4/30/2022 12:00,4/30/2022 16:00,20
20,Los Angeles,Chicago,5/1/2022 9:15,5/1/2022 13:15,21
21,Chicago,Los Angeles,5/2/2022 11:15,5/2/2022 15:15,22
22,San Francisco,Denver,5/3/2022 9:30,5/3/2022 13:30,23
23,Denver,San Francisco,5/4/2022 11:30,5/4/2022 15:30,24
24,Atlanta,Houston,5/5/2022 9:45,5/5/2022 13:45,25
25,Houston,Atlanta,5/6/2022 11:45,5/6/2022 15:45,26
26,Seattle,Orlando,5/7/2022 10:00,5/7/2022 14:00,27
27,Orlando,Seattle,5/8/2022 12:00,5/8/2022 16:00,28
28,Philadelphia,Phoenix,5/9/2022 10:15,5/9/2022 14:15,29
29,Phoenix,Philadelphia,5/10/2022 12:15,5/10/2022 16:15,30
30,Las Vegas,Boston,5/11/2022 10:30,5/11/2022 14:30,31
31,Boston,Las Vegas,5/12/2022 12:30,5/12/2022 16:30,32
32,"Washington, D.C.",Seattle,5/13/2022 10:45,5/13/2022 14:45,33
33,Seattle,"Washington, D.C.",5/14/2022 12:45,5/14/2022 16:45,34
34,Miami,Dallas,5/15/2022 11:00,5/15/2022 15:00,35
35,Dallas,Miami,5/16/2022 13:00,5/16/2022 17:00,36
36,New York,Houston,5/17/2022 11:15,5/17/2022 15:15,37
37,Houston,New York,5/18/2022 13:15,5/18/2022 17:15,38
38,Dallas,New York,5/19/2022 11:30,5/19/2022 15:30,39
39,New York,Dallas,5/20/2022 13:30,5/20/2022 17:30,40
40,Los Angeles,Chicago,5/21/2022 11:45,5/21/2022 15:45,41
41,Chicago,Los Angeles,5/22/2022 13:45,5/22/2022 17:45,42
42,San Francisco,Denver,5/23/2022 12:00,5/23/2022 16:00,43
43,Denver,San Francisco,5/24/2022 14:00,5/24/2022 18:00,44
44,Atlanta,Houston,5/25/2022 12:15,5/25/2022 16:15,45
45,Houston,Atlanta,5/26/2022 14:15,5/26/2022 18:15,46
46,Seattle,Orlando,5/27/2022 12:30,5/27/2022 16:30,47
47,Orlando,Seattle,5/28/2022 14:30,5/28/2022 18:30,48
48,Philadelphia,Phoenix,5/29/2022 12:45,5/29/2022 16:45,49
49,Phoenix,Philadelphia,5/30/2022 14:45,5/30/2022 18:45,50
50,Las Vegas,Boston,5/31/2022 13:00,5/31/2022 17:00,51
51,Boston,Las Vegas,6/1/2022 15:00,6/1/2022 19:00,52
52,"Washington, D.C.",Seattle,6/2/2022 13:15,6/2/2022 17:15,53
53,Seattle,"Washington, D.C.",6/3/2022 15:15,6/3/2022 19:15,54
54,Miami,Dallas,6/4/2022 13:30,6/4/2022 17:30,55
55,Dallas,Miami,6/5/2022 15:30,6/5/2022 19:30,56
56,New York,Houston,6/6/2022 13:45,6/6/2022 17:45,57
57,Houston,New York,6/7/2022 15:45,6/7/2022 19:45,58
58,Dallas,New York,6/8/2022 14:00,6/8/2022 18:00,59
59,New York,Dallas,6/9/2022 16:00,6/9/2022 20:00,60
60,Los Angeles,Chicago,6/10/2022 14:15,6/10/2022 18:15,61
61,Chicago,Los Angeles,6/11/2022 16:15,6/11/2022 20:15,62
62,San Francisco,Denver,6/12/2022 14:30,6/12/2022 18:30,63
63,Denver,San Francisco,6/13/2022 16:30,6/13/2022 20:30,64
64,Atlanta,Houston,6/14/2022 14:45,6/14/2022 18:45,65
65,Houston,Atlanta,6/15/2022 16:45,6/15/2022 20:45,66
66,Seattle,Orlando,6/16/2022 15:00,6/16/2022 19:00,67
67,Orlando,Seattle,6/17/2022 17:00,6/17/2022 21:00,68
68,Philadelphia,Phoenix,6/18/2022 15:15,6/18/2022 19:15,69
69,Phoenix,Philadelphia,6/19/2022 17:15,6/19/2022 21:15,70
70,Las Vegas,Boston,6/20/2022 15:30,6/20/2022 19:30,71
71,Boston,Las Vegas,6/21/2022 17:30,6/21/2022 21:30,72
72,"Washington, D.C.",Seattle,6/22/2022 15:45,6/22/2022 19:45,73
73,Seattle,"Washington, D.C.",6/23/2022 17:45,6/23/2022 21:45,74
74,Miami,Dallas,6/24/2022 16:00,6/24/2022 20:00,75
75,Dallas,Miami,6/25/2022 18:00,6/25/2022 22:00,76
76,New York,Houston,6/26/2022 16:15,6/26/2022 20:15,77
77,Houston,New York,6/27/2022 18:15,6/27/2022 22:15,78
78,Dallas,New York,6/28/2022 16:30,6/28/2022 20:30,79
79,New York,Dallas,6/29/2022 18:30,6/29/2022 22:30,80
80,Los Angeles,Chicago,6/30/2022 16:45,6/30/2022 20:45,81
81,Chicago,Los Angeles,7/1/2022 18:45,7/1/2022 22:45,82
82,San Francisco,Denver,7/2/2022 17:00,7/2/2022 21:00,83
83,Denver,San Francisco,7/3/2022 19:00,7/3/2022 23:00,84
84,Atlanta,Houston,7/4/2022 17:15,7/4/2022 21:15,85
85,Houston,Atlanta,7/5/2022 19:15,7/5/2022 23:15,86
86,Seattle,Orlando,7/6/2022 17:30,7/6/2022 21:30,87
87,Orlando,Seattle,7/7/2022 19:30,7/7/2022 23:30,88
88,Philadelphia,Phoenix,7/8/2022 17:45,7/8/2022 21:45,89
89,Phoenix,Philadelphia,7/9/2022 19:45,7/9/2022 23:45,90
90,Los Angeles,Chicago,7/10/2022 18:00,7/10/2022 22:00,91
91,Chicago,Los Angeles,7/11/2022 20:00,7/11/2022 0:00,92
92,San Francisco,Denver,7/12/2022 18:15,7/12/2022 22:15,93
93,Denver,San Francisco,7/13/2022 20:15,7/13/2022 0:15,94
94,Atlanta,Houston,7/14/2022 18:30,7/14/2022 22:30,95
95,Houston,Atlanta,7/15/2022 20:30,7/15/2022 0:30,96
96,Seattle,Orlando,7/16/2022 18:45,7/16/2022 22:45,97
